Declared UDA,Reference Number,Application Type,Proposal details,Type of approval,Address of Site,Property Desc.,Decision date
"Northshore Hamilton, Brisbane",DEV2012/391,Reconfiguring a Lot,1 into 8 lot subdivision,Development Permit,"Parkside Circuit, Hamilton",Lot 205 on SP251858,11/12/2012
"Bowen Hills, Brisbane",DEV2012/392,Material Change of Use,Multiple Residential (160 dwelling units) and Commercial/Retail (38.48sqm).,Development Permit,"332-334 Water Street and 62-68 Brunswick Street, Fortitude Valley","Lots 5 & 6 on RP81335, Lot 1 on RP10553, Lots 11 & 12 on RP1552, Lot 13 on RP81335, Lot 101 & 102 on SP143465 and Lots 2 & 900 on R8816117 (Brisbane City Council ARS Easements)",8/08/2013
,,,Change to Approval approved 8 May 2014.,,,,
,,,Change to Approval approved 7 August 2014.,,,,
"Bowen Hills, Brisbane",DEV2012/393,Material Change of Use,Development Permit for Material Change of Use for Medical Centre and Office.,Development Permit,"24 Markwell Street, Bowen Hills",Lot 5 on SP213464,21/05/2013
,,,"Change to Approval approved 4 April 2014,",,,,
Moranbah,DEV2012/394,Material Change of Use,Non-Residental Worker Accomodation (Interim Use),Development Permit,"0 Acacia Street, Moranbah",Lot 1 on SP220917,23/05/2013
"Northshore Hamilton, Brisbane",DEV2012/395,Material Change of Use,Business Park,Development Permit,"311 to 385 MacArthur Avenue and 210 Curtin Avenue West, Eagle Farm QLD 4009","Lots 802,803,809 on SP210924, Part Lot 5 on SP205027, Lot 3,4 on SP238221",10/01/2013
"Bowen Hills, Brisbane",DEV2012/397,Material Change of Use,"Multiple Residential (156 Dwelling Units), Partial Demolition and Extension Works to Heritage Place to Accommodate Future Commercial/Retail Use.",Development Permit,"23-39 Abbotsford Road, Bowen Hills","Lots 2, 3 & 6 on RP10087, Lots 1 & 2 on RP10092, Lot 1 on RP10091 and Lot 17 on RP47816",30/05/2014
,,,Change to Approval approved 9 April 2015.,,,,
,,,Change to Approval approved 27 October 2015.,,,,
"Northshore Hamilton, Brisbane",DEV2012/398,Material Change of Use,Development Permit for Material Change of Use for Multiple Residential (105 Dwelling Units) and Visitor Accommodation,Development Permit,"485 Kingsford Smith Drive, Hamilton",Lot 1 on SP224042,4/03/2015
"Northshore Hamilton, Brisbane",DEV2012/399,Material Change of Use,"Multiple Residnential (31 dwelling units), Retail (Shop, Fast Food Premises, Food Premises) and Commercial (Medical Centre)",Development Permit,"35A Hercules Street, Hamilton","Lot 910 on SP172657, part of Lot 603 on SP172640, Lot 605 on SP213403 and Common Property on SP172640",30/05/2013
,,,Change to Approval approved 1 October 2013.,,,,
"Fitzgibbon, Brisbane",DEV2012/401,Material Change of Use,Development Permit for Material Change of Use for Multiple Residential (2 Dwelling Units),Development Permit,"560 Norris Road, Fitzgibbon",Lot 154 on SP242306,11/01/2013
Greater Flagstone,DEV2012/402,Reconfiguring a Lot,"Development Permit for Reconfiguring a Lot - 714 Residential Lots, 3 Future Allotments, Open Space, New Road - with a Plan of Development and 5 into 7 Management Lots and Context Plan.",Development Permit,"New Beith Road & Homestead Drive, Undullah (Stage 1)","Lot 2 on RP47120, Lot 907-908 on RP819216, Part Lot 873 on SP166448, Lot 910 on RP857850 and Lot 911 on RP857870",5/03/2015
,,,Change to Approval approved 27 August 2015.,,,,
"Bowen Street, Roma",DEV2012/406,Reconfiguring a Lot,"Development Permit for Reconfiguring a Lot for 1 into 49 Residential Lots, Park Lot, Balance Lot and New Road with Plan of Development",Development Permit,"Bowen Street, Roma",Lot 145 on SP253603,11/02/2013
Blackwater,DEV2012/407,Material Change of Use,Development Permit for Material Change of Use for Multiple Residential (2 Dwelling Units),Development Permit,"29 Rufus Street, Blackwater",Lot 2 on RP609996,25/01/2013
Blackwater,DEV2012/408,Material Change of Use,Development Permit for Material Change of Use for Multiple Residential (3 Dwelling Units),Development Permit,"17 Deacon Drive, Blackwater",Lot 15 on SP206875,29/01/2013
Ripley Valley,DEV2012/409,Reconfiguring a Lot,Development Permit for Reconfiguring a Lot (1 into 313) with Plan of Development,Development Permit,"Ripley Road & Watsons Road, South Ripley",Lots 196 and SP157517 and Lot 370 on SP198119,26/03/2014
"Tannum Sands, Gladstone",DEV2013/416,Reconfiguring a Lot,Development Permit for Reconfiguring a lot (1 into 4) Including Balance Lot,Development Permit,"Tannum Sands Road, Tannum Sands",Lot 6 on SP228432,21/02/2013
Blackwater,DEV2013/419,Material Change of Use,Development Permit for Material Change of Use for Exention to Child Care Centre,Development Permit,"51 Hunter Street, Blackwater",Lot 11 on CP853986 & Lot 81 on HT596,10/05/2013
"Bowen Street, Roma",DEV2013/420,Reconfiguring a Lot,Development Permit for Reconfiguring a Lot (1 into 3) with New Road and Management Subdivision,Development Permit,"Bowen Street, Roma",Lot 142 on SP257141,1/03/2013
Ripley Valley,DEV2013/421,Reconfiguring a Lot,"145 lots (144 residential lots, 1 balanace lot and road) over 3 stages",Development Permit,"Barrams, Abrahams and Bayliss Roads, South Ripley","Lots 61, 62 & 77 on S151855 and Lot 79 on SL79",21/11/2013
,,,Change to Approval approved 16 January 2014.,,,,
"Oonoonba, Townsville",DEV2013/423,Reconfiguring a Lot,Development Permit for Reconfiguring a Lot (1 into 52) Residential Subdivision.,Development Permit,"180-202 River Boulevard, Oonoonvba (Stage 6)",Lot 7000 on SP247154,18/07/2013
,,,Change to Approval approved 25 February 2014.,,,,
"Oonoonba, Townsville",DEV2013/424,Reconfiguring a Lot,Development Permit for Reconfiguring a Lot (1 into 46 Residential Lots),Development Permit,"180-202 River Boulebard, Oonoonba (Stage 12)",Lot 9000 on SP255445,18/07/2013
Ripley Valley,DEV2013/425,Reconfiguring a Lot,Development Permit for Reconfiguring a Lot for Road Widening,Development Permit,"Ripley Road, Ripley Valley",Lots 1-5 on SP246466,20/08/2013
Caloundra South,DEV2013/426,Reconfiguring a Lot,"Development permit for reconfiguring a lot for 350 residential lots, park, new road and drainage with plan of development.",Development Permit,"Bellvista Boulevard, Caloundra West",Part of Lot 2000 on SP255765,30/07/2014
,,,Change to Approval approved 5 May 2015.,,,,
,,,Change to Approval approved 19 August 2015.,,,,
"Oonoonba, Townsville",DEV2013/427,Reconfiguring a Lot,Development permit for reconfiguring a lot (1 into 39),Development Permit,"180-202 RIver Boulevard, Oonoonba (Stage 18)",Lot 9000 on SP255445,18/07/2013
"Oonoonba, Townsville",DEV2013/428,Reconfiguring a Lot,Development permit for reconfiguring a lot (1 into 37 residential lots),Development Permit,"180 - 202 River Boulevard, Ooonoonba",Lot 9000 on SP255445,18/07/2013
Ripley Valley,DEV2013/429,Reconfiguring a Lot,Development permit for reconfiguring a lot (1 into 2),Development Permit,"419 Watsons Road, Ripley",Lot 3 on RP204513,8/10/2013
"Clinton, Gladstone",DEV2013/431,Material Change of Use,Development permit for material change of use for multiple residential (2 dwelling units).,Development Permit,"Sea Price Circuit, HillClose Estate, Clinton, Gladstone",Lot 356 on SP257431,22/05/2013
,,,Change to Approval approved 26.06.13.,,,,
Yarrabilba,DEV2013/432,Reconfiguring a Lot,Development permit for reconfiguring a lot (1 into 8) with amendment of POD including service station & service industry use,Development Permit,"1568-1618 Waterford-Tamborine Road, Yarrabilba",Lot 907 on SP247345,31/05/2013
Moranbah,DEV2013/436,Material Change of Use,Development permit for material change of use for office,Development Permit,"Acacia St, Belyando Av & Goonyella Rd, Moranbah",Lot 4 on SP239826,24/07/2013
Greater Flagstone,DEV2013/437,Material Change of Use,Development permit for material change of use for telecommuncation facility,Development Permit,"Lot 4 on RP45728, New Beith",Lot 4 on RP45728,31/05/2013
Ripley Valley,DEV2013/438,Reconfiguring a Lot,"12 into 1,512 lots, public open space and road over multiple stages",Development Permit,"Barrams Road, Bayliss Road and Abrahams Road, South Ripley Qld 4306","Lot 56 SP200934, Lots 58-62 and 75-77 S151855, Lot 79 SL79, Lots 109 and 113 M3174 and Part of Abrams Road",26/03/2014
Caloundra South,DEV2013/439,Material Change of Use,"Reconfiguring a Lot (1 lot into 263 business and industry lots, 9 showrooms lots, Parks, New Roads and Drainage) and Material Change of Use, in accordance with a Plan Development",Development Permit,"Bellvista Boulevard, Caloundra West and Bruce Highway, Bells Creek",Part of Lot 505 on 884348,22/05/2015
,,Reconfiguring a Lot,,,,,
Blackwater,DEV2013/447,Reconfiguring a Lot,Reconfiguration of a Lot (Create 31 Residential Lots Stage 2),Development Permit,"Yeates Avenue, Blackwater Qld 4717",Lot 1 on SP235822,1/08/2013
"Clinton, Gladstone",DEV2013/448,Material Change of Use,Multiple Residential,Development Permit,"Lot 56 Valhalla Street, HillClose Estate, Clinton Qld 4680",Lot 56 on SP254048,17/07/2013
,,,Change to Approval approved 17.07.13,,,,
Blackwater,DEV2013/450,Material Change of Use,Material Change of Use Multiple Residential (2 Dwelling Units),Development Permit,"21 Gidyea Street, Blackwater QLD 4717",Lot 11 on B33736,3/09/2013
Moranbah,DEV2013/451,Reconfiguring a Lot,1 into 2 Subdivision,Development Permit,"8 Croker Court, Moranbah",Lot 401 on SP230470,24/07/2013
,,Operational Work,,,,,
Yarrabilba,DEV2013/452,Reconfiguring a Lot,1 into 48 lots with POD,Development Permit,"1568-1618 Waterford-Tamborine Road, Yarrabilba",Lot 911 on SP258540,7/08/2013
"Oonoonba, Townsville",DEV2013/454,Reconfiguring a Lot,Reconfiguring a Lot (4 Residential Allotments and 1 Mixed Use lot),Development Permit,"180 - 202 River Boulevard, Oonoonba Qld 4811",Lot 9001 on SP257338,27/09/2013
Greater Flagstone,DEV2013/455,Material Change of Use,Material change of use for whole of site and reconfiguring a lot by boundary realignment (4 into 4),Development Permit,"New Beith Road, New Beith","Lot 49 on S312118 (Part), Lot 585 on S312118, Lot 1 on RP43903, Lot 8 on S312737, Lot 62 on S312246, Lot 1 on RP25922 and Lot 2 on RP25922",19/12/2013
,,Reconfiguring a Lot,,,,,
"Oonoonba, Townsville",DEV2013/456,Reconfiguring a Lot,1 into 3 lot residential subdivision,Development Permit,"180-202 River Boulevard, Oonoonba Qld 4811",Lot 321 on SP257327,10/10/2013
"Clinton, Gladstone",DEV2013/457,Material Change of Use,Multiple Residential - 2 Dwelling Units,Development Permit,"Lot 363 Harmony Drive, HillClose Estate, Clinton",Lot 363 SP257431,27/08/2013
,,,Change to Approval approved 26 June 2014.,,,,
"Clinton, Gladstone",DEV2013/458,Material Change of Use,Multiple Residential.,Development Permit,"Lot 346 Sea Prince Circuit, HillClose Estate, Clinton",Lot 346 on SP257431,29/08/2013
,,,Change to Approval approved 13 February 2014.,,,,
,,,Change to Approval approved 8 September 2014.,,,,
"Clinton, Gladstone",DEV2013/459,Material Change of Use,Multiple Residential,Development Permit,"Lot 343 Valhalla Street, HillClose Estate, Clinton",Lot 343 SP257431,29/08/2013
Ripley Valley,DEV2013/463,Reconfiguring a Lot,1 into 53 lots subdivision,Development Permit,"450-546 Ripley Road, Ripley",Lot 1 on RP114350,31/10/2013
"Bowen Street, Roma",DEV2013/464,Reconfiguring a Lot,Establish reciprocal access easements,Development Permit,"Acacia Road, Roma",Lots 7 and 8 on SP249951,24/07/2013
Yarrabilba,DEV2013/465,Material Change of Use,Amend North Village Stage 1 POD to allow display house and sales centre uses,Development Permit,"1568-1618 Waterford Tamborine Road, Yarrabilba","Lots 3-7 on SP247340, Lots 18-55 on SP247340 and Lot 63 on SP247342",21/08/2013
"Tannum Sands, Gladstone",DEV2013/467,Material Change of Use,Detached Dwellings (11 in total or 1 per lot).,Development Permit,"Ariel Lane and Aurora Road, Tannum Sands",Lots 18-21 and 55-61 on SP260342,23/09/2013
,,,Change to Approval approved 18 October 2013.,,,,
"Clinton, Gladstone",DEV2013/468,Material Change of Use,Multiple Residential (2 Dwelling Units),Development Permit,"Lot 338 Valhalla Street, HillClose Estate, Clinton",Lot 338 on SP257431,11/09/2013
,,,Change to Approval approved 12 February 2014.,,,,
"Clinton, Gladstone",DEV2013/470,Material Change of Use,Multiple Residential (2 Dwelling Units),Development Permit,"Lot 415 Harmony Drive, HillClose Estate, Clinton",Proposed Lot 415 - currently part of Lot 897 on SP257431,11/09/2013
"Clinton, Gladstone",DEV2013/471,Material Change of Use,Multiple Residential (2 Dwelling Units),Development Permit,"Lot 416 Harmony Drive, HillClose Estate, Clinton",Proposed Lot 416 - currently part of Lot 897 on SP257431,12/09/2013
"Clinton, Gladstone",DEV2013/472,Material Change of Use,Multiple Residential (2 Dwelling Units),Development Permit,"Lot 353 Sea Prince Circuit, HillClose Estate, Clinton",Lot 353 on SP257431,12/09/2013
"Clinton, Gladstone",DEV2013/473,Material Change of Use,Multiple Residential (2 Dwelling Units).,Development Permit,"Lot 339 Valhalla Street, HillClose Estate, Clinton",Lot 339 on SP257431,12/09/2013
,,,Change to Approval approved 26 November 2013.,,,,
"Clinton, Gladstone",DEV2013/474,Material Change of Use,Multiple residential (2 dwelling units).,Development Permit,"Lot 344 Sea Prince Circuit, HillClose Estate, Clinton",Lot 344 on SP257431,26/09/2013
,,,Change to Approval approved 13 February 2014.,,,,
Greater Flagstone,DEV2013/475,Operational Work,Stage 14 of Flagstone Estate - Vegetation Clearing,Development Permit,"Reserve Drive, Jimboomba",Lot 900 on SP216471,11/09/2013
,,,Change to Approval approved 20 February 2015,,,,
"Clinton, Gladstone",DEV2013/476,Material Change of Use,Multiple Residential (2 Dwelling Units),Development Permit,"Lot 414 Scampi Drive, HillClose Estate, Clinton",Proposed Lot 414 (currently part of Lot 897 on SP257431),12/09/2013
"Clinton, Gladstone",DEV2013/477,Material Change of Use,Multiple Residential (2 Dwelling Units),Development Permit,"Lot 412 Scampi Drive, HillClose Estate, Clinton",Proposed Lot 412 (currently part of Lot 897 on SP257431,12/09/2013
,,,Change to Approval approved 21 February 2014.,,,,
"Clinton, Gladstone",DEV2013/478,Material Change of Use,Multiple Residential (2 Dwelling Units).,Development Permit,"Lot 411 Scampi Drive, HillClose Estate, Clinton",Proposed Lot 411 (currently part of lot 897 on SP257431),12/09/2013
,,,Change to Approval approved 26 November 2013.,,,,
"Clinton, Gladstone",DEV2013/479,Material Change of Use,Multiple Residential (2 Dwelling Units).,Development Permit,"Lot 435 Cimba Street, HillClose Estate, Clinton",Proposed Lot 435 (currently part of Lot 897 on SP257431),12/09/2013
,,,Change to Approval approved 19 February 2014,,,,
"Clinton, Gladstone",DEV2013/480,Material Change of Use,Multiple Residential (2 Dwelling Units),Development Permit,"Lot 437 Cimba Street, HillClose Estate, Clinton",Proposed Lot 437 (currenlty part of Lot 897 on SP257431),16/09/2013
Moranbah,DEV2013/481,Reconfiguring a Lot,1 lot into 4 lots and road,Development Permit,"Moranbah Railway Station Road, Moranbah",Lot 25 on SP255600,20/11/2013
Yarrabilba,DEV2013/482,Material Change of Use,Inclusion of food premise as an approved use.,Development Permit,"1568-1618 Waterford Tamborine Road, Yarrabilba",Lot 911 on SP258540,12/11/2013
,,,Change to Approval approved 26 May 2015.,,,,
,,,Change to Approval approved 15 October 2015.,,,,
"Tannum Sands, Gladstone",DEV2013/483,Material Change of Use,Multiple Residential (2 Dwelling Units),Development Permit,"Lot 17 Aurora Road, Tannum Blue Estate, Tannum Sands",Lot 17 on SP260342,4/09/2013
,,,Change to Approval approved 17 December 2013,,,,
"Tannum Sands, Gladstone",DEV2013/484,Material Change of Use,Multiple Residential (2 Dwelling Units),Development Permit,"Lot 65 Marloo Drive, Tannum Blue Estate, Tannum Sands",Lot 65 on SP 260342,12/09/2013
"Tannum Sands, Gladstone",DEV2013/485,Material Change of Use,MCU for multiple residential (2 dwelling units),Development Permit,"Lot 173 Marloo Drive, Tannum Blue, Tannum Sands",Lot 173 on SP260342,17/09/2013
"Tannum Sands, Gladstone",DEV2013/486,Material Change of Use,Multiple Residential (2 Dwelling Units).,Development Permit,"Lot 90 Bulimba Road, Tannum Blue Estate, Tannum Sands",Lot 90 on SP260342,12/09/2013
,,,Change to Approval approved 8 January 2014.,,,,
"Tannum Sands, Gladstone",DEV2013/487,Material Change of Use,DP for MCU - Multiple Residential (2 Dwelling Units).,Development Permit,"12 Marloo Drive, Tannum Blue Estate, Tannum Sands",Lot 171 on SP260342,13/09/2013
,,,Change to Approval approved 8 January 2014.,,,,
"Andergrove, Mackay",DEV2013/488,Material Change of Use,Multiple Residential (2 Dwelling Units),Development Permit,"Lot 56 Whitefig Close, Andergrove","Proposed lot 56, currently part of Lot 502 on SP244526",12/09/2013
"Andergrove, Mackay",DEV2013/489,Material Change of Use,Multiple Residential (2 Dwelling Units),Development Permit,"Lot 58 Whitefig Close, Andergrove","Proposed Lot 58, currently part of Lot 502 on SP244526",18/09/2013
Blackwater,DEV2013/490,Material Change of Use,Kindergarten (Child Care Centre),Development Permit,"20 Park Street, Blackwater",Lot 79 on SP155486,25/09/2013
Greater Flagstone,DEV2013/491,Operational Work,Vegetation clearing,Development Permit,"New Beith Road & Homestead Drive, Undullah Qld 4285","Lot 907 & 908 on RP 819216, Lot 911 on RP 857870 & Lot 906 on 216472",10/10/2013
"Andergrove, Mackay",DEV2013/492,Material Change of Use,Multiple Residential (2 Dwelling Units),Development Permit,"3 Wagtail Street, Andergrove",Lot 124 on SP252769,12/09/2013
"Bowen Hills, Brisbane",DEV2013/493,Material Change of Use,DP for MCU for Office,Development Permit,"478-480 St Pauls Tce,Fortitude Valley, 482 St Pauls Tce, 11 Symes St, 631 Gergory Tce Bowen Hills & part of St Pauls Tce Rd Reserve","Lots 104, 105 & 701 on SP219236, Lots 1 & 2 on RP95389 and part of St Pauls Tce Rd Reserve",10/09/2013
,,,Change to Approval approved 3 October 2013,,,,
,,,Change to Approval approved 31 October 2013,,,,
,,,Change to Approval approved 15 May 2015,,,,
Moranbah,DEV2013/494,Material Change of Use,3 lots into 201 lots and Road in 4 Stages.,Development Permit,"Grosvenor Drive, Belyando Estate, Moranbah",Lot 29 on SP218555,7/03/2014
,,Reconfiguring a Lot,Change to Approval approved 2 June 2014.,,,,
"Andergrove, Mackay",DEV2013/495,Material Change of Use,Multiple Residential (2 Dwelling Units),Development Permit,"Proposed Lot 57 Whitefig Close, Andergrove","Proposed Lot 57, Currently Part of Lot 502 on SP244526",16/09/2013
"Oonoonba, Townsville",DEV2013/496,Material Change of Use,Multiple Residential (2 Dwelling Units),Development Permit,"38 Huxley Crescent, The Village, Oonoonba",Lot 347 on SP257327,27/09/2013
"Oonoonba, Townsville",DEV2013/497,Material Change of Use,Multiple Residential (2 Dwelling Units),Development Permit,"91 Riveredge Boulevard, The Village, Oonoonba",Lot 344 on SP257327,27/09/2013
"Oonoonba, Townsville",DEV2013/498,Material Change of Use,Multiple Residential (4 Dwelling Units).,Development Permit,"11-13 Huxley Crescent, Oonoonba",Lots 313 and 314 on SP257327,12/12/2013
,,,Change to Approval approved 7 March 2014.,,,,
"Oonoonba, Townsville",DEV2013/499,Material Change of Use,Multiple Residential (4 Dwelling Units).,Development Permit,"17-19 Huxley Crescent, Oonoonba",Lots 316 and 317 on SP257327,12/12/2013
,,,Change to Approval approved 12 February 2014.,,,,
"Oonoonba, Townsville",DEV2013/500,Material Change of Use,Multiple Residential (2 Dwelling Units),Development Permit,"40 Huxley Crescent, The Village, Oonoonba",Lot 346 on SP257327,27/09/2013
"Oonoonba, Townsville",DEV2013/501,Material Change of Use,Multiple Residential (2 Dwelling Units),Development Permit,"83 Riveredge Boulevard, The Village, Oonoonba",Lot 338 on SP257327,27/09/2013
Yarrabilba,DEV2013/503,Reconfiguring a Lot,Part of 1 Lot into 108 Lots with Revised POD.,Development Permit,"1568-1618 Waterford Tamborine Road, Yarrabilba",Part of Lot 911 on SP258540,15/11/2013
,,,Change to Approval approved 20 May 2014.,,,,
Parklands,DEV2013/504,Operational Work,Bulk Earthworks for TransLink Bus Turnaround Facility,Development Permit,"Cnr Parklands Drive and Smith Street, Southport Qld 4215",Lot 460 on SP222438,15/10/2013
Ripley Valley,DEV2013/505,Material Change of Use,Development of a house.,Development Permit,"81-127 O'Dempsey Road, South Ripley",Lot 194 on SL234,13/12/2013
Parklands,DEV2013/506,Operational Work,Temporary Construction Access Roadworks,Development Permit,"Corner Parklands Drive and Smith Street, Southport Qld 4215",Lot 460 on SP222438,22/10/2013
"Andergrove, Mackay",DEV2013/507,Material Change of Use,Multiple Residential (6 Dwelling Units),Development Permit,"Proposed Lot 37 Whitefig Close, Andergrove","Proposed Lot 37, Currently Part of Lot 502 on SP244526",9/12/2013
"Oonoonba, Townsville",DEV2013/508,Reconfiguring a Lot,1 Lot into 2 Lot Subdivision,Development Permit,"7 Crake Circuit, Oonoonba",Lot 31 on SP243806,4/12/2013
Yarrabilba,DEV2013/509,Operational Work,Precinct One signage.,Development Permit,"Waterford Tamborine Road, Yarrabilba","Lot 12 on SP247340, Lot 88 on SP247342, Lot 400 on SP247341, Lot 5032 on SP247344, Lot 911 on SP258540 and Road",5/12/2013
"Oonoonba, Townsville",DEV2013/510,Material Change of Use,Multiple Residential (2 Dwelling Units),Development Permit,"8 Bushlark Street, The Village, Oonoonba",Lot 49 on SP243806,30/10/2013
"Andergrove, Mackay",DEV2013/511,Material Change of Use,Multiple Residential (2 Dwelling Units),Development Permit,"22 Wagtail Street, Andergrove",Lot 145 on SP252769,20/01/2014
Yarrabilba,DEV2013/512,Material Change of Use,Amendments to approved plan of development.,Development Permit,"1568-1618 Waterford Tamborine Road, Yarrabilba",Lot 911 on SP258540,14/04/2014
,,Reconfiguring a Lot,,,,,
Parklands,DEV2013/514,Operational Work,Bulk Earthworks and Erosion and Sediment Control.,Development Permit,"Corner Parklands Drive and Smith Street, Southport",Lot 460 on SP222438,17/12/2013
,,,Change to Approval approved 17 June 2014 - Hyder Consulting.,,,,
,,,Change to Approval approved 17 June 2014 - Cardno HRP.,,,,
Parklands,DEV2013/516,Operational Work,Construction of Translink Bus Turnaround Facility,Development Permit,"Corner Parklands Drive and Smith Street, Southport",Lot 460 on SP222438,24/10/2013
Parklands,DEV2013/518,Operational Work,"Underground Services (Electrical, Gas, Communications)",Development Permit,"Corner Parklands Drive and Smith Street, Southport",Lot 460 on SP222438,16/01/2014
"Andergrove, Mackay",DEV2013/519,Reconfiguring a Lot,Subdivision into 42 lots,Development Permit,"271 Bedford Road, Andergrove",Part Lot 1 on SP255624,13/01/2014
,,Operational Work,,,,,
"Tannum Sands, Gladstone",DEV2013/520,Material Change of Use,Multiple Residential (2 Dwelling Units),Development Permit,"28 Bulimba Road, Tannum Blue, Tannum Sands",Lot 88 on SP260342,13/01/2014
"Bowen Hills, Brisbane",DEV2013/522,Material Change of Use,Extension to an Existing Office,Development Permit,"49 Allison Street, Bowen Hills",Lot 219 on RP9371,5/12/2013
Yarrabilba,DEV2013/523,Reconfiguring a Lot,"Establish Precinct 2 Boundary; 6 management lots within Precinct 2; 679 residential lots, one school site and open space and associated POD.",Development Permit,"Precinct 2, 1568-1618 Waterford Tamborine Road, Yarrabilba","Lot 900 SP247320, Lot 3 RP27551, Lot 1 RP27535, Lot 382 SP101423, Lot 361 SP101422 and L913 SP260500",7/03/2014
,,,Change to Approval approved 2 June 2014.,,,,
,,,Change to Approval approved 20 October 2014.,,,,
,,,Change to Approval approved 30 March 2015.,,,,
,,,Change to Approval approved 29 July 2015.,,,,
"Oonoonba, Townsville",DEV2013/524,Material Change of Use,Multiple Residential (2 Dwelling Units),Development Permit,"79 Riveredge Boulevard, The Village, Oonoonba",Lot 336 on SP257327,8/01/2014
"Oonoonba, Townsville",DEV2013/525,Reconfiguring a Lot,Boundary Re-alignment,Development Permit,"180-202 River Boulevard, Oonoonba",Lot 9001 on SP257327,25/11/2013
Blackwater,DEV2013/526,Operational Work,Proposed Kindergarten at Blackwater North State School,Development Permit,"20 Park Street, Blackwater QLD 4717",Lot 79 on SP155486,14/02/2014
Blackwater,DEV2013/527,Material Change of Use,Non Resident Worker Accommodation,Development Permit,"Rosewood Street, Blackwater",Lot 1 on SP246036,8/08/2014
,,,Change to Approval approved 14 October 2015.,,,,
"Oonoonba, Townsville",DEV2013/528,Material Change of Use,Multiple Residential 96 Dwelling Units),Development Permit,"28 Bushlark Street, Oonoonba Qld 4811",Lot 39 on SP243806,17/12/2013
"Oonoonba, Townsville",DEV2013/533,Material Change of Use,Multiple Residential (2 Dwelling Units),Development Permit,"89 Riveredge Boulevard, The Village, Oonoonba",Lot 343 on SP257327,21/02/2014
Parklands,DEV2013/534,Operational Work,Landscape Early Works Infrastructure,Development Permit,"Cnr Parklands Drive and Smith Street, Southport",Lot 460 on SP222438,14/03/2014
Moranbah,DEV2013/536,Material Change of Use,Subdivision (1 lot into 3 lots) and plan of development allowing future industrial land uses.,Development Permit,"Goonyella Road, MORANBAH",Lot 2 on Crown Land M97361,3/09/2014
,,Reconfiguring a Lot,,,,,
"Oonoonba, Townsville",DEV2013/537,Material Change of Use,Loft House,Development Permit,"24 Goode Lane, The Village, Oonoonba",Lot 91 on SP257338,19/02/2014
"Oonoonba, Townsville",DEV2013/538,Material Change of Use,Loft House,Development Permit,"42 Goode Lane, The Village, Oonoonba",Lot 99 on SP257338,19/02/2014
"Northshore Hamilton, Brisbane",DEV2014/539,Reconfiguring a Lot,Boundary Realignment - Variation to SPP3(d),Development Permit,"11, 23 & 221 Macarthur Avenue, Hamilton",Lots 61 & 62 on SP231794 and Lot 1303 on SP195300,24/07/2014
"Bowen Hills, Brisbane",DEV2014/542,Material Change of Use,Multiple Residential and Shop (90sqm)/Food Premises,Development Permit,"9-11 Bowen Bridge Road, Herston",Lots 11 and 12 on RP9940,19/03/2014
,,,Change to Approval approved 12 September 2014,,,,
,,,Change to Approval approved 23 January 2015.,,,,
,,,Change to Approval approved 27 March 2015.,,,,
"Northshore Hamilton, Brisbane",DEV2014/543,Material Change of Use,"Multiple Residential, Shop and Food Premises",Development Permit,"5 Hercules St, Hamilton & part 1 Hercules St, Hamilton subject to easement",Lot 1 on SP231749 & Easement 712867368 over part Lot 2 on SP231749,21/05/2014
,,,Change to Approval approved 14 July 2015,,,,
"Oonoonba, Townsville",DEV2014/544,Reconfiguring a Lot,Boundary Realignment,Development Permit,"180-202 River Boulevard, Oonoonba",Lot 9000 on SP255455 and Lot 9001 on SP264446,28/02/2014
"Fitzgibbon, Brisbane",DEV2014/545,Material Change of Use,Duplex,Development Permit,"Flinders Circuit, Fitzgibbon",Lot 4015 on SP257547,12/03/2014
"Oonoonba, Townsville",DEV2014/546,Material Change of Use,Multiple Residential (Duplex),Development Permit,"46 Riveredge Boulevard, The Village, Oonoonba (Stage 4)","Proposed Lot 423, currently part of Lot 9001 on SP264446",1/04/2014
"Oonoonba, Townsville",DEV2014/547,Material Change of Use,Multiple Residential (Duplex),Development Permit,"46 Riveredge Boulevard, The Village, Oonoonba (Stage 4)","Proposed Lot 401, currently part of Lot 9001 on SP264446",1/04/2014
"Oonoonba, Townsville",DEV2014/548,Material Change of Use,Multiple Residential (Duplex),Development Permit,"46 Riveredge Boulevard, The Village, Oonoonba (Stage 4)","Proposed lot 428, currently part of Lot 9001 on SP264446",2/04/2014
"Oonoonba, Townsville",DEV2014/549,Material Change of Use,Multiple Residential (Duplex),Development Permit,"46 Riveredge Boulevard, The Village, Oonoonba (Stage 4)","Proposed lot 424, currently part of Lot 9001 on SP264446",1/04/2014
"Northshore Hamilton, Brisbane",DEV2014/550,Operational Work,Sewer Replacement,Development Permit,"Macarthur Avenue, Hamilton",Road Reserve,4/04/2014
"Bowen Hills, Brisbane",DEV2014/551,Material Change of Use,Multiple Residential (2 Units) and Alterations to Heritage Place,Development Permit,"36 Jeays Street, Bowen Hills",Lot 38 on RP9985,14/05/2014
"Bowen Hills, Brisbane",DEV2014/552,Material Change of Use,"Multiple Residential (40 units), shop and food premises (97sqm)",Development Permit,"44-46 Brookes Street, Bowen Hills",Lot 14 and 15 on RP9985,17/03/2014
